id,Title,tags
3558,Becoming,"a coupl on a road trip through america encount a terrifi dark forc older than the countri itself. an evil that transform love one into someon terrifying, the entiti ha left a trail of murder famili go back hundr of years. sciencefict drama thriller horror"
3559,2-Headed Shark Attack,"a semest at sea ship is attack and sunk by a mutat two-head shark, and the survivor seek refug on a desert atoll. the coeds, however, are no longer safe when the atol start flooding. horror action thriller sciencefict"
3560,Eraserhead,"henri spencer tri to surviv hi industri environment, hi angri girlfriend, and the unbear scream of hi newli born mutant child. fantasi horror"
3561,Jackie,"an account of the day of first lady, jacquelin kennedy, in the immedi aftermath of john f. kennedy' assassin in 1963. drama"
3562,Heart of Batman,"in the earli 1990s, a rare gather of talent defin batman for a generation. twenty-f year later, batman: the anim series"""""""" continu to inspir fan and myth-mak all over the world. thi is an in-depth look at the storytel behind the series."""""""" documentari"
3563,Silenced,"base on actual event that took place at gwangju inhwa school for the hearing-impaired, where young deaf student were the victim of repeat sexual assault by faculti member over a period of five year in the earli 2000s. drama"
3564,The Current War,electr titan thoma edison and georg westinghous compet to creat a sustain system and market it to the american people. drama histori
3565,Salma's Big Wish,"in the mexican town of santa clara, salma, a 16 year-old orphan who never got to meet her biolog parents, ha spent most of her life search for clue of their ident and whereabouts, that is until she discov a special book that is fill with stori of the town' past and the histori of it' people. anim famili fantasi"
3566,Navy Seals vs. Zombies,"a team of highli skill navi seal find themselv embark on the battl of their live when they come face-to-fac with the undead. after a deadli outbreak occur in new orleans, the seal must fight for their lives, and the city, against an armi of zombies. horror action"
3567,Gabriel,gabriel tell the stori of an archangel who fight to bring light back to purgatori - a place where dark rule - and save the soul of the city' inhabitants. fantasi horror action sciencefict
3568,Three Colors: White,"polish immigr karol karol find himself out of a marriage, a job and a countri when hi french wife, dominique, divorc him after six month due to hi impotence. forc to leav franc after lose the busi they jointli owned, karol enlist fellow polish expatri mikolah to smuggl him back to their homeland. comedi drama mysteri"
3569,Beyond the Edge,contemporari moscow. a talent gambler gather a team of peopl with supernatur power to win big at a casino. but they find a much stronger mystic rival. adventur fantasi action
3570,Terrified,polic commission fune and three research of supernatur phenomena investig inexplic event that are occur in the suburb of bueno aires. horror
3571,The Belko Experiment,a group of eighti american worker are lock in their offic and order by an unknown voic to particip in a twist game. thriller horror action
3572,The Gruffalo's Child,"a follow up to the 2009 anim featur and adapt from the childrens' book by julia donaldson and alex scheffler. the gruffalo' child explor the deep dark wood in search of the big bad mous and meet the snake, owl and fox in the process. she eventu find the mouse, who manag to outwit her like the gruffalo before! adventur anim famili fantasi"
3573,Tom and Jerry: The Magic Ring,"tom is left in charg of a priceless magic ring by hi young wizard master. he is then horrifi when the ring get stuck on jerry' head, who then run off into the city. famili anim fantasi comedi action"
3574,Empire of the Sun,"jami graham, a privileg english boy, is live in shanghai when the japanes invad and forc all foreign into prison camps. jami is captur with an american sailor, who look out for him while they are in the camp together. even though he is separ from hi parent and in a hostil environment, jami maintain hi digniti and youth spirits, provid a beacon of hope for the other held captiv with him. drama histori war"
3575,Deadfall,"a thriller that follow two sibl who decid to fend for themselv in the wake of a botch casino heist, and their unlik reunion dure anoth family' thanksgiv celebration. crime drama thriller"
3576,Battle in Heaven,"set in mexico city, carlo reygadas' sexual explicit drama center on a man in turmoil over hi past actions. chauffer marco feel compel to reveal a dark secret to hi boss' daughter, ana, a wealthi woman who work as a prostitut just for the thrill of it. marco confess that he and hi wife commit a crime that end in horribl tragedy. haunt by hi past, marco search for redemption. drama"
3577,Bedknobs and Broomsticks,three children evacu from london dure world war ii are forc to stay with an eccentr spinster (eglantin price). the children' initi fear disappear when they find out she is in fact a traine witch. adventur fantasi comedi famili music
3578,ARQ,two old friend live in a dystop futur becom trap in a mysteri time loop â€” one that may have someth to do with an ongo battl between an omnipot corpor and a ragtag band of rebels. sciencefict thriller
3579,The Ambulance,"josh meet a young woman who shortli afterward collaps and is rush to hospit in an ambulance. he follow after her onli to find that there is no record her be admitted, and he soon learn that her roommat also vanish after be pick up by the same ambulance. convinc of a conspiracy, josh proce to investigate, despit the discourag of the police. action horror thriller comedi romanc"
3580,Roma,"in 1970 mexico city, two domest worker help a mother of four while her husband is away for an extend period of time. drama"
3581,"Easy Sex, Sad Movies","bueno air screenwrit pablo is hire to write a new romant comedy. as he begin hi story, he visual hi charact live in madrid. pablo creat a meet-cut between marina and vã­ctor, a cute coupl in madrid who are soon total in love. yet as pablo get more and more into the script, he find it difficult to separ hi movi charact from what is happen in hi own real life â€“ specifically, hi own love life. comedi"
3582,Nancy Drew and the Hidden Staircase,"nanci drew, a smart high schooler with a penchant for keen observ and deduction, stumbl upon the haunt of a local home. a bit of an outsid struggl to fit into her new surroundings, nanci and her pal set out to solv the mystery, make new friends, and establish their place in the commun crime famili comedi mysteri"
3583,Infinite Storm,one woman' journey for self-discoveri and turn into a harrow tale of survival. drama
3584,Juice,"four harlem friend -- bishop, q, steel and raheem -- dabbl in petti crime, but they decid to go big by knock off a conveni store. bishop, the magnet leader of the group, ha the gun. but q ha differ aspirations. he want to be a dj and happen to have a gig the night of the robbery. unfortun for him, bishop isn't will to take no for answer in a game where everything' for keeps. crime drama thriller"
3585,Piranha II: The Spawning,"a scuba dive instructor, her biochemist boyfriend, and her polic chief ex-husband tri to link a seri of bizarr death to a mutant strain of piranha fish whose lair is a sunken freighter ship off a caribbean island resort. horror"
3586,Wild Things 2,"two florida high school vixen hatch a murder plan to win an inheritance, but they hadn't bargain for an escal whirlpool of blackmail and sexual game with a sleazi insur investig who ha hi own plan for the money. crime drama mysteri"
3587,The Informers,"a collect of intersect short stori set in earli 1980 lo angeles, depict a week in the live of an assort of social alienated, mainli well-off charact who numb their sens of empti with casual sex, violence, and drugs. drama"
3588,Striptease,"bounc from her job, erin grant need money if she' to have ani chanc of win back custodi of her child. but, eventually, she must confront the nake truth: to take on the system, she'll have to take it all off. erin strip to conquer, but she face unintend circumst when a hound dog of a congressman zero in on her and sharpen the shadi tool at hi fingertips, includ blackmail and murder. comedi crime drama"
3589,Cats,a tribe of cat call the jellicl must decid yearli which one will ascend to the heavisid layer and come back to a new jellicl life. fantasi comedi drama
3590,Alone in the Dark,"edward carnbi is a privat investig special in unexplain supernatur phenomena. hi case delv into the dark corner of the world, search for truth in the occult remnant of ancient civilizations. now, the greatest mysteri of hi past is about to becom the most danger case he ha ever faced. action fantasi horror"
3591,Are You Here,"when steve dallas, a woman local weatherman, hear that hi off-the-grid best friend ben baker ha lost hi estrang father, the two return to ben' childhood home. onc there, they discov ben ha inherit the famili fortune, and the ill-equip duo must battl ben' formid sister and deal with hi father' gorgeou 25-year old widow. comedi"
3592,The Frozen Ground,an alaska state trooper partner with a young woman who escap the clutch of serial killer robert hansen to bring the murder to justice. base on actual events. thriller crime
3593,Grappler Baki,"baki, a new grappler on the no-hold bar fight scene, is fli up the ranks. all that is left in hi wake are the dead and the defeated. however, no one can tell whether he can keep thi up against the previou champion, a fierc fighter who sever hi oppon veri nerv to win. anim action"
3594,The Hole,four teenag at a british privat school secretli uncov and explor the depth of a seal underground hole creat decad ago as a possibl bomb shelter. crime drama horror thriller
3595,Dragon Tiger Gate,"dragon tiger gate is a 2006 hong kong martial arts-act film direct by wilson yip and featur fight choreographi by donni yen, who also star in the film. the film is base on the popular hong kong manhua, orient heroes, which bear the same chines name as the movie. action thriller"
3596,Thick as Thieves,a master thief recruit a notori thief to help him steal two famou faberg egg from an impenetr vault in an effort to pull off one final job and repay hi debt to the russian mob. action thriller crime
3597,Thank You for Smoking,"nick naylor is a charismat spin-doctor for big tobacco who'll fight to protect america' right to smoke -- even if it kill him -- while still remain a role model for hi 12-year old son. when he incur the wrath of a senat bent on snuf out cigarettes, nick' power of filter the truth"""""""" will be put to the test."""""""" comedi drama"
3598,Freaks,"a circus' beauti trapez artist agre to marri the leader of side-show performers, but hi deform friend discov she is onli marri him for hi inheritance. drama horror"
3599,Daughters of Eve,"in the remot countrysid of ilongo, variou women are sexual abus by local men. two sister meet simon, the most attract man in the village, and fight over him - one constantli haunt by cathol dogma becaus of the abus she suffer previously. horror drama crime"
3600,The Joy Luck Club,"through a seri of flashbacks, four chines women born in america and their respect mother born in feudal china explor their pasts. drama"
3601,The Good Liar,"career con man roy set hi sight on hi latest mark: recent widow betty, worth millions. and he mean to take it all. but as the two draw closer, what should have been anoth simpl swindl take on the ultim stakes. crime"
3602,Tiempo,a child' nightmar take over hi reality. drama
3603,Walk the Line,"a chronicl of countri music legend johnni cash' life, from hi earli day on an arkansa cotton farm to hi rise to fame with sun record in memphis, where he record alongsid elvi presley, jerri lee lewi and carl perkins. drama music romanc"
3604,Let It Snow,"when a huge blizzard (that doesn't show sign of stopping) hits, gracetown is complet snow in. but even though it' cold outside, thing are heat up inside, prove that christma is magic when it come to love. romanc comedi"
3605,Fort Apache,"in john ford' sombr explor of the mytholog of american heroes, he slowli reveal the charact of owen thursday, who see hi new post to the desol fort apach as a chanc to claim the militari honour which he believ is right his. arrogant, obsess with militari form and ultim self-destructive, thursday attempt to destroy the apach chief cochis after lure him across the border from mexico, against the advic of hi subordinates. western"
3606,What to Expect When You're Expecting,"challeng of impend parenthood turn the live of five coupl upsid down. two celebr are unprepar for the surpris demand of pregnancy; hormon wreak havoc on a baby-crazi author, while her husband tri not to be outdon by hi father, who' expect twin with hi young trophi wife; a photographer' husband isn't sure about hi wife' adopt plans; a one-tim hook-up result in a surpris pregnanc for rival food-truck owners. romanc comedi drama"
3607,The Aftermath,"in the aftermath of world war ii, a british colonel and hi wife are assign to live in hamburg dure the post-war reconstruction, but tension aris with the german widow who live with them. war drama romanc"
3608,The Extraordinary Journey of the Fakir,"the stori of ajatashatru oghash rathod, a fakir who trick hi local villag in rajasthan, india into believ hi possess special power and into pay him to fli to pari to buy a bed of nail from an ikea store. comedi adventur drama"
3609,mid90s,"stevi is a sweet 13-year-old about to explode. hi mom is love and attentive, but a littl too forthcom about her romant life. hi big brother is a taciturn and violent bully. so stevi search hi working-class lo angel suburb for somewher to belong. he find it at the motor avenu skate shop. drama comedi"
3610,Poseidon,"a pack cruis ship travel the atlant is hit and overturn by a massiv wave, compel the passeng to begin a dramat fight for their lives. adventur action drama thriller"
3611,Asterix and the Big Fight,"gaullish custom requir that a would-b chief must challeng and defeat anoth to becom the leader of two tribes. vitalstatistix is not perturb becaus of getafix' magic potion. getafix, howev ha an accid and forget how to make it. then vitalstatistix is suddenli challenged. famili anim adventur comedi"
3612,Samba,"samba migrat to franc 10 year ago from senegal, and ha sinc been plug away at variou lowli jobs. alic is a senior execut who ha recent undergon a burnout. both struggl to get out of their dead-end lives. samba' will to do whatev it take to get work papers, while alic tri to get her life back on track until fate draw them together. drama comedi"
3613,The Call Up,"when a group of elit onlin gamer each receiv a mysteri invit to trial a state-of-the-art virtual realiti video game, itâ€™ a dream come true and imposs to resist. arriv at the test site, the group step into hi-tech gear and prepar for a revolutionary, next-level game experi that bring modern warfar to life with frighten realism. at first itâ€™ a uniqu and exhilar experience. but what start out like a dream encount with cut edg technolog quickli take a turn for the sinister. onc the group are attack by enemi combatants, they soon realiz thi is no game after all. make a mistak here and you pay with your life. now these master of the shoot â€˜em up will have to fight for surviv within a game gone bad, but thi time itâ€™ for real. adventur action sciencefict"
3614,Sex and Death 101,"a guy' life is turn around by an email, which includ the name of everyon he' had sex with and ever will have sex with. hi situat get wors when he encount a femm fatal (ryder) who target men guilti of sex crime. comedi romanc drama"
3615,Asterix the Gaul,"in the year 50 bc, gaul is occupi by the roman - nearly. but the small villag of asterix and hi friend still resist the roman legion with the aid of their druid' magic potion, which give superhuman strength. learn of thi potion, a roman centurion kidnap the druid to get the secret formula out of him. famili anim adventur comedi"
3616,Vantage Point,the attempt assassin of the american presid is told and re-told from sever differ perspectives. drama action thriller crime
3617,Sabrina,"maira live happili with aiden, a doll maker and toy compani owner. but vanya, their adopt daughter and aiden' niece, is still deal with the loss of her birth mother. after vanya play charlie' pencil to summon her late mother, strang thing begin to happen. horror thriller"
3618,Barry Lyndon,"an irish rogu use hi cun and wit to work hi way up the social class of 18th centuri england, transform himself from the humbl redmond barri into the nobl barri lyndon. drama romanc war"
3619,Erotic Seductions,playgirl carri and her colleg teacher jack debat the worth and depth of sexual and romant relationship while enthusiast field-test their theories. drama
3620,The Lifeguard,a former valedictorian quit her report job in new york and return to the place she last felt happy: her childhood home in connecticut. she get work as a lifeguard and start a danger relationship with a troubl teenager. drama comedi romanc
3621,RockNRolla,"when a russian mobster set up a real estat scam that gener million of pounds, variou member of london' crimin underworld pursu their share of the fortune. variou shadi characters, includ mr one-two, stella the accountant, and johnni quid, a druggi rock-star, tri to claim their slice. action crime thriller"
3622,Assassins,"assassin robert rath arriv at a funer to kill a promin mobster, onli to wit a rival hire gun complet the job for him -- with grisli results. horrifi by the murder of innoc bystanders, rath decid to take one last job and then return to civilian life. but find hi way out of the world of contract kill grow ever more danger as rath fall for hi femal target and becom a mark man himself. action adventur crime thriller"
3623,The Return of the King,two hobbit struggl to destroy the ring in mount doom while their friend desper fight evil lord sauron' forc in a final battle. anim fantasi adventur
3624,The Piano Teacher,"erika kohut, a sexual repress piano teacher live with her domin mother, meet a young man who start romant pursu her. drama romanc"
3625,Crooked House,"a privat investig help a former flame solv the murder of her wealthi grandfather, who live in a sprawl estat surround by hi idiosyncrat family. drama mysteri crime"
3626,Winter's Tale,"a burglar fall for an heiress as she die in hi arms. when he learn that he ha the gift of reincarnation, he set out to save her. drama fantasi mysteri romanc"
3627,The Marvels,the sequel to captain marvel (2019). action adventur sciencefict
3628,One Piece: Strong World Episode 0,"the introductori chapter to the movie, strong world, which depict the event surround gold roger' execution. action anim comedi"
3629,Beyond White Space,"when a deep space fish vessel is rob by a gang of pirates, the captain make a dare decis to go after a rare and nearli extinct species. hi obsess propel them further into space as the crew spin toward mutini and betrayal. sciencefict thriller"
3630,Minions: Puppy,"a minion, see mani owner walk their dogs, want a puppi of hi own. he tri to leash a ladybug but fails. luckily, a ufo that sweep away the ladybug somehow agre to becom a puppy. anim famili comedi sciencefict"
3631,Junglee,a vet return home to hi father' eleph reserv where he encount and fight an intern poacher' racket. action adventur
3632,The Getaway,a recent releas ex-convict and hi loyal wife go on the run after a heist goe wrong. action crime thriller
3633,Asakusa Kid,"in 1965, takeshi kitano drop out of a univers and enter the asakusa franc za, which is a perform theater. he becom an apprentic to senzaburo fukami, who is a legendari entertainer. senzaburo fukami demand that takeshi kitano keep the mindset of an entertainer, not onli on stage, but also in hi daili life. takeshi kitano cultiv hi dream of becom an entertain with other apprentices. due to the popular of tv, peopl attend the theater less and less, but takeshi kitano spend hi youth day with senzaburo fukami and other apprentic who are full of talent and uniqu personalities. drama"
3634,Funeral Parade of Roses,"set in the underground gay cultur of 1960 tokyo, a loos adapt of oedipu rex in which a transgend sex worker kill hi mother and sleep with hi father. drama fantasi"
3635,Anomalisa,an inspir speaker becom reinvigor after meet a live woman who shake up hi mundan existence. anim drama romanc comedi
3636,The Mothman Prophecies,report john klein is plung into a world of imposs terror and unthink chao when fate draw him to a sleepi west virginia town whose resid are be visit by a great wing shape that sow hideou nightmar and fever visions. drama horror mysteri
3637,Harriet,"the extraordinari tale of harriet tubman' escap from slaveri and transform into one of america' greatest heroes. her courage, ingenu and tenac freed hundr of slave and chang the cours of history. drama histori"
3638,Batman: Return of the Caped Crusaders,"adam west and burt ward return to their icon role of batman and robin. the film see the superhero go up against classic villain like the joker, the riddler, the penguin and catwoman, both in gotham cityâ€¦ and in space. action anim adventur crime sciencefict"
3639,Double Jeopardy,"a woman frame for her husband' murder suspect he is still alive; as she ha alreadi been tri for the crime, she can't be re-prosecut if she find and kill him. thriller"
3640,One Crazy Summer: A Look Back at Gravity Falls,"a look behind-the-scen at the make of graviti falls, featur interview from numer cast and crew members. documentari"
3641,Gunfight at the O.K. Corral,lawman wyatt earp and outlaw doc holliday form an unlik allianc which culmin in their particip in the legendari gunfight at the o.k. corral. western
3642,Say Anything...,a nobl underachiev and a beauti valedictorian fall in love the summer befor she goe off to college. romanc comedi drama
3643,Slumber,a sleep doctor tri to protect a famili from a demon that feed on peopl in their nightmares. horror
3644,Kindergarten Cop 2,"assign to recov sensit stolen data, a gruff fbi agent goe undercov as a kindergarten teacher, but the school' liberal, polit correct environ is more than he bargain for. comedi action"
3645,Sniper,tough guy thoma beckett is an us soldier work in the panamanian jungle. hi job is to seek out rebel and remov them use hi sniper skills. beckett is notori for lose hi partner on such missions. thi time he' accompani by crack marksman richard miller. action drama thriller
3646,The Jacket,"a militari veteran goe on a journey into the future, where he can forese hi death and is left with question that could save hi life and those he loves. thriller mysteri drama"
3647,I Am Bruce Lee,"bruce lee is univers recogn as the pioneer who elev martial art in film to an art form, and thi documentari will reveal whi bruce lee' flame burn brighter now than the day he die over three decad ago. the greatest martial artists, athletes, actors, directors, and produc in the entertain busi today will share their feel about the one who start it all. we will interview the peopl whose lives, careers, and belief system were forev alter by the legendari father of martial art cinema"""""""". rare seen archiv footag and classic photo will punctuat the person testimonials. prepar to be inspired."""""""" documentari"
3648,Detective Conan: The Private Eyes' Requiem,"synopsi kogoro and conan came to yokohama accord to a request from a mysteri man. but that wa a trap of thi man. ran and the detect boy will be taken as hostages. if they don't solv the request of the man within 12 hours, the bomb attach to the hostag will explode. furthermore, the man know that conan` true ident is kudo shinichi. also hattori heiji, the high school detect of the west, and kaito kid enter the stage. will they be abl to solv the mysteri within the time limit and save ran and the others? and who in the world is the client? anim mysteri"
3649,"Naruto, the Genie, and the Three Wishes, Believe It!","naruto discov a genie' bottl while he and the gang are at a genin grill party. when everyon find out about the genie' abil to grant wishes, the ultim chase begins. anim action comedi"
3650,Thank You for Your Service,"a group of u.s. soldier return from iraq struggl to integr back into famili and civilian life, while live with the memori of a war that threaten to destroy them long after they'v left the battlefield. drama war"
3651,Smokey and the Bandit II,"the bandit goe on anoth cross-countri run, transport an eleph from florida to texas. and, onc again, sheriff buford t. justic is on hi tail. action comedi"
3652,13,"a naiv young man assum a dead man' ident and find himself embroil in an underground world of power, violence, and chanc where men gambl behind close door on the live of other men. drama thriller"
3653,Unknown,five men wake up in a locked-down warehous with no memori of who they are. they are forc to figur out who is good and who is bad to stay alive. thriller
3654,The Treasures of Crimea,"it wa a fate coincid that in 2014, just when the allard pierson museum in amsterdam wa stage an exhibit of crimean artworks, russia annex the region. so now the question aris of who should the artwork be return to? to the museum in crimea who had been so kind as to loan them out? or to ukraine, perhaps, the countri crimea belong to befor the annexation? what should the museumâ€™ director wim hupperetz do? documentari"
3655,Darc,"to bring down a global human traffick ring, an interpol agent recruit the help of a brutal crimin with insid knowledg of the yakuza. action thriller"
3656,The Deep,a pair of young vacation are involv in a danger conflict with treasur hunter when they discov a way into a deadli wreck in bermuda waters. mysteri thriller adventur
3657,Father of the Bride Part II,"just when georg bank ha recov from hi daughter' wedding, he receiv the news that she' pregnant ... and that george' wife is expect too. he wa plan on sell their home, but that' a plan thatâ€”lik georgeâ€”wil have to chang with the arriv of both a grandchild and a kid of hi own. comedi famili"
3658,Chances Are,"louie jeffri is happili marri to corinne. on their first anniversary, louie is kill cross the road. louie is reincarn as alex finch, and twenti year later, fate bring alex and louie' daughter, miranda, together. it' not until alex is invit to louie' home that he begin to rememb hi former life, wife and best friend. of course, there' also the problem that he' attract to louie's/hi own daughter. fantasi comedi romanc"
3659,The 36th Chamber of Shaolin,"the anti-ch patriots, under the guidanc of ho kuang-han, have secretli set up their base in canton, disguis as school masters. dure a brutal manchu attack, lui manag to escape, and devot himself to learn the martial art in order to seek revenge. action adventur"
3660,1911,"at the begin of the 20th century, china is in a state of crisis. the countri is split into war factions, the citizen are starving, and recent polit reform have made matter worse, not better. the rule qing dynasty, led by a seven-year-old emperor, and hi ruthless mother, empress dowag longyu is complet out of touch after 250 year of unquest power. huang xing ha recent return from japan, where he ha studi the art of modern warfare. when he find hi countri fall apart, he feel he ha no choic but to pick up the sword. adventur drama action histori war"
3661,Fate/stay night: Heaven's Feel III. Spring Song,"as sakura drown in the murki dark of the sin she ha committed, shirou' vow to protect her at all cost lead him into a rage battl to put an end to the holi grail war. will shirou' wish reach sakura even as he challeng fate itself in a desper battl against the rise tide? anim romanc fantasi action drama"
3662,The Piano,"after a long voyag from scotland, pianist ada mcgrath and her young daughter, flora, are left with all their belongings, includ a piano, on a new zealand beach. ada, who ha been mute sinc childhood, ha been sold into marriag to a local man name alisdair stewart. make littl attempt to warm up to alisdair, ada soon becom intrigu by hi maori-friendli acquaintance, georg baines, lead to tense, life-alt conflicts. drama romanc"
3663,Spanglish,"mexican immigr and singl mother flor moreno find housekeep work with deborah and john clasky, a well-off coupl with two children of their own. when flor admit she can't handl the schedul becaus of her daughter, cristina, deborah decid they should move into the claski home. cultur clash and tension run high as flor and the claski struggl to share space while rais their children on their own, and veri different, terms. comedi"
3664,Above Suspicion,"the chill true stori of a newli marri fbi poster boy assign to an appalachian mountain town in kentucky. there he is drawn into an illicit affair with an impoverish local woman who becom hi star informant. she see in him her mean of escape; instead, it' a ticket to disast for both of them. thriller crime"
3665,The Star Wars Holiday Special,"luke skywalk and han solo battl evil imperi forc to help chewbacca reach hi imperil famili on the wookie planet - in time for life day, their most import day of the year! adventur comedi famili sciencefict tvmovi"
3666,The Andromeda Strain,"when virtual all of the resid of piedmont, new mexico, are found dead after the return to earth of a space satellite, the head of the us air force' project scoop declar an emergency. a group of emin scientist led by dr. jeremi stone scrambl to a secur laboratori and tri to first isol the life form while determin whi two peopl from piedmont - an old alcohol and a six-month-old babi - survived. the scientist method studi the alien life form unawar that it ha alreadi mutat and present a far greater danger in the lab, which is equip with a nuclear self-destruct devic design to prevent the escap of danger biolog agents.. sciencefict thriller"
3667,The Invention of Lying,"set in a world where the concept of lie doesn't exist, a loser chang hi lot when he invent lie and use it to get ahead. comedi fantasi romanc"
3668,Invincible,"inspir by the true stori of vinc papale, a man with noth to lose who ignor the stagger odd and made hi dream come true. when the coach of papale' belov hometown footbal team host an unpreced open tryout, the public consensu wa that it wa a wast of time â€“ no one good enough to play profession footbal wa go to be found thi way. drama histori"
3669,Volver,"raimunda live and work in madrid with her husband paco and their daughter paula. raimunda' sister sole live nearby. the two sister miss their mother iren who die sever year ago in a hous fire along with their father. when a former neighbor from their hometown report that she ha seen the ghost of irene, the daughter do not believ her. after a murder and a famili tragedy, however, irene' spirit materi around her daughter to comfort them. comedi drama romanc"
3670,Cam Girls,"jenna, kelli and ness have all found themselv isol around lockdown. with littl to do around the homes, and a lot of time on their hands, the girl interact with one anoth discuss their new sexual desir becom unleash with their partner via the internet. dive into the world of bdsm, group and infidelity, will the ladi want to go further with these experiment sexual act when they leav lockdown? romanc"
3671,Saving Mr. Banks,"author p.l. traver look back on her childhood while reluctantli meet with walt disney, who seek to adapt her mari poppin book for the big screen. comedi drama histori"
3672,Boys,two teen track star discov first love as they train for the biggest relay race of their young lives. drama
3673,Tootsie,"when struggling, out of work actor michael dorsey secretli adopt a femal alter ego - dorothi michael - in order to land a part in a daytim drama, he unwittingli becom a feminist icon and end up in a romant pickle. comedi romanc"
3674,Mr. Jones,"in 1933, welsh journalist gareth jone travel to ukraine, where he experi the horror of a famine. everywher he goe he meet henchmen of the soviet secret servic who are determin to prevent news about the catastroph from get out. stalinâ€™ forc collectivis of agricultur ha result in miseri and ruinâ€”th polici is tantamount to mass murder. thriller drama histori"
3675,The Dirty Dozen,"12 american militari prison in world war ii are order to infiltr a well-guard enemi chã¢teau and kill the nazi offic vacat there. the soldiers, most of whom are face death sentenc for a varieti of violent crimes, agre to the mission and the possibl commut of their sentences. action adventur war"
3676,Ranma Â½,"akan is the youngest of three daughter for soun tendo. her father soun tendo run a dojo for martial arts. akan hope to carri on her father' dojo into the distant future. meanwhile, akan ha been select to marri ranma, the son of her father' long time friend genma. akan and ranma' relationship ha develop into a love and hate relationship. also, ranma isn't your typic boy. while on a train journey ranma fell into the spring of the drown girl and now chang into a women whenev cold water is splash on him. warm water will allow him to revert back to a male. problem aris when akane' father declar that the successor to their dojo must be a male. now, akan and ranma (be a man onli half of the time) must find a secret spring that can cure him of hi curse. action comedi fantasi"
3677,The Flintstones in Viva Rock Vegas,"the flintston are at it again. the flintston and the rubbl head for rock vega with fred hope to court the love wilma. noth will stand in the way of love, except for the conniv chip rockefel who is the playboy born in baysvil but who ha made it in the cutthroat town of rock vegas. will fred win wilma' love? comedi famili romanc"
3678,The Exorcism of Anna Ecklund,"when a priest and a vatican investig take a possess housewif to a convent to perform an exorcism, all hell break loose.... thriller horror"
3679,History of the World: Part I,"an uproari version of histori that prove noth is sacr â€“ not even the roman empire, the french revolut and the spanish inquisition. comedi"
3680,"To Wong Foo, Thanks for Everything! Julie Newmar","three new york drag queen on their way to hollywood for a beauti pageant get strand in a small midwestern town for the entir weekend when their car break down. while wait for part for their cadillac convertible, the flamboy trio show the local homophob redneck that appear differ doesn't mean they don't have human in common. comedi"
3681,Analyze That,"the mafia' paul vitti is back in prison and will need some seriou counsel when he get out. naturally, he return to hi analyst dr. ben sobel for help and find that sobel need some seriou help himself as he ha inherit the famili practice, as well as an excess stock of stress. comedi crime"
3682,Streets of Fire,"raven shaddock and hi gang of merciless biker friend kidnap rock singer ellen aim. ellen' former lover, soldier-for-hir tom cody, happen to be pass through town on a visit. in an attempt to save hi star act, ellen' manag hire tom to rescu her. along with a former soldier, they battl through danger cityscapes, determin to get ellen back. action"
3683,Inside Llewyn Davis,"in greenwich villag in the earli 1960s, gift but volatil folk musician llewyn davi struggl with money, relationships, and hi uncertain futur follow the suicid of hi sing partner. drama music"
3684,Manhattan Night,"porter wren is a manhattan tabloid writer with an appetit for scandal. on the beat he sell murder, tragedy, and anyth that pass for the truth. at home, he is a dedic husband and father. but when caroline, a seduct stranger ask him to dig into the unsolv murder of her filmmak husband simon, he is drawn into a veri nasti case of sexual obsess and blackmail--on that threaten hi job, hi marriage, and hi life. drama mysteri thriller"
3685,Inconceivable,"a mother look to escap her abus past by move to a new town where she befriend anoth mother, who grow suspici of her. thriller drama"
3686,It Could Happen to You,"charli lang is a simple, kindheart new york citi cop. when he realiz he ha no money to tip waitress yvonn biasi, lang offer her half the win of hi lotteri ticket. amazingly, the ticket happen to be a winner, in the sum of $4 million. true to hi word, lang proce to share the prize money with biasi, which infuri hi greedi wife, muriel. not content with the arrangement, muriel begin scheme to take all the money. comedi drama romanc"
3687,"Where'd You Go, Bernadette","when architect-turned-reclus bernadett fox goe miss prior to a famili trip to antarctica, her 15-year-old daughter bee goe on a quest with bernadette' husband to find her. drama comedi"
3688,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"four talent alien musician are kidnap by a record produc who disguis them as humans. shep, a space pilot in love with bass player stella, follow them to earth. reprogram to forget their real ident and renam the crescendolls, the group quickli becom a huge success play soulless corpor pop. at a concert, shep manag to free all the musician except stella, and the band set out to rediscov who they realli are -- and to rescu stella. anim sciencefict music adventur"
3689,The Apartment,"bud baxter is a minor clerk in a huge new york insur company, until he discov a quick way to climb the corpor ladder. he lend out hi apart to the execut as a place to take their mistresses. although he often ha to deal with the aftermath of their visits, one night he' left with a major problem to solve. comedi drama romanc"
3690,"McFarland, USA",a track coach in a small california town transform a team of athlet into championship contenders. drama famili
3691,Witness for the Prosecution,"when leonard vole is arrest for the sensat murder of a rich, middle-ag widow, the famou sir wilfrid robart agre to appear on hi behalf. sir wilfrid, recov from a near-fat heart attack, is suppos to be on a diet of bland, civil suitsâ€”but the lure of the crimin court is too much for him, especi when the case is so difficult. drama mysteri crime"
3692,Tokyo Story,"the elderli shukishi and hi wife, tomi, take the long journey from their small seasid villag to visit their adult children in tokyo. their elder son, koichi, a doctor, and their daughter, shige, a hairdresser, don't have much time to spend with their age parents, and so it fall to noriko, the widow of their younger son who wa kill in the war, to keep her in-law company. drama"
